Experiment,Epochs,Baseline,Best Sample,ACO@1,ACO@T,Diversity@1,Diversity@T,Bins
+Architecture (GatedGCN),11,0.714128740131855,0.7685454487800598,0.7665827140212059,0.7886831656098365,0.7063766171970698,0.6937164820939452,59.7
+Loss (Huber),11,0.9405820369720459,0.9564601659774781,0.9533853232860565,0.9571018874645233,0.6711768856663337,0.6627396149734651,49.9
+MMAS,11,0.9424429893493652,0.9567313730716706,0.9572078347206116,0.9575584709644318,0.674296375885157,0.661372523236907,49.9
+Local Search,11,0.9385267436504364,0.9535144686698913,0.9575295805931091,0.9833960413932801,0.6709270981495928,0.6593359936170393,49.9
Combined Improvements,11,0.18841343224048615,0.1925654888153076,0.19305992424488067,0.19711705148220063,0.0019241428458892985,0.0007225085320321512,118.7
